,review
46,저번에 방문했을때 너무 맛있게 먹어서 또 방문했어요!고기도 너무 잘 구워주시고 요청사항들도 빠르고 친절하게 대응해주셔서 기분좋게 먹다가 가요😆
47,여기 진짜 고기가 맛있어요 깔끔한 맛이납니다 벽돌갈비 맛이 부드럽고 육즙과 육향이 가득해요 돼지갈비도 부드럽고 자극적인 맛이 아닌 깔끔해요 육회도 맛있고 파스타도 맛있습니다 맛이 정갈하고 맛있어요 :)
48,벽돌갈비라고 티비에서 보고 궁굼해서 와봤는데 처음에 컨셉이 신기해서 단순 호기심으로 고기먹으러 왔은데 컨셉도 그렇고 실제로 맛도 너무 있어서 놀랬고 분위기도 데이트하기에 컨셉을 잘 잡아서 완전 만족 최상이고 재방문 의사 확고합니다.!!
49,매장도 깨끗하고 친절합니다 또 올게요 :)
50,고기 맛있습니다!!멀리서 달려왔는데 온 보람이 있네요^^ 구워주셔서 편하고 정갈하고 깔끔합니다~
51,기념일에 방문했는데 저녁이라 그런지 사람이 너무많아서 불도 몇번이나 말씀드려야 넣어주시고 고기 구워주시다 다른 테이블에서 고기 안구워주냐고 컴플레인 하면 또 거기가서 한참있다 오시고 우리보고 구우라고 차라리 말이라도 하던가 아무런 말도 없이 고기 태워서 아주아주 굉장히 불만족스럽고 기분 안 좋은 기념일이었습니다.
52,진짜 맛있고 입에서 녹습니다 소갈비인줄 몰랐어요ㅋ
53,근처 덕수궁 산책하고 오기 너무 좋습니다.분위기도 차분하고서빙해주시는 직원분들도 모두 친절하시고 밝으셔서 에너지를 받고가요~고기는 입에 넣자마자입틀막 입니다...무조건 생고기 드시고 양념으로 넘어가시구요하이볼은 필수입니다...♡
54,"네이버예약 제외하면 6번 방문같아요고기는 항상 양념소갈비먹는데 맛있어요.아이들도 너무 잘먹고, 부드럽고 짜지않구요오늘 구워주신 직원분 너무 칭찬드리고싶어요차분하게 양념이라 타기 쉬운데도 잘 구워주시고편안하게 식사하도록 배려해주시는 태도에너무 감동받고 감사했어요! 아이들은 저희가 따로 집게/가위달라고해서조금 더 익혀서 따로 작게 잘라주는데금방 캐치하시고 아이들도 챙겨주시고센스도 좋으셨어요. 다음에도 또 뵈면 좋겠네요! "
55,항상먹는 벽돌갈비 최고에요! 밑반찬훌륭해요
56,매장이 넓고 깨끗해서 데이트하기 너무 좋았어요직원분들도 너무 친절하시고 고기구워주시는분이 너무 이쁘셨어요 ㅎㅎㅎㅎ
57,할머님 다리가 불편하셔서 1층에 앉으면 안되냐하니전체 예약석이라하셔서 2층까지 한쪽발로 올라가시고 내려가셨어요.(식사 2시간 가량 마친 후 내려와보니 아예 사람이없었어요그냥 아예 1층 자리 안받으시는듯)뭐든 주문을하면 너무 늦게나오고 사람 3명인데 부침개 두조각물 1개 반찬도 한쪽으로만 되어있고 고기는 벽돌 3인분 돼지 2인분 시켰는데벽돌갈비만 구워주시는듯해요직원호출해도 직원들끼리 얘기하시느라 바쁘시더라고요재방문 의사는 없어요
58,너무 맛있네여 고기도 부드럽고ㅎㅎ 저녁 회식으로 딱입니다
59,고기도 직접 구워주시고 직원분들 응대도 너무 친절하고 좋았어요! 매장이 커서 단체회식하기도 좋아보야요!! 재방문 의사 있습니다~
60,"고기가 맛있고, 쾌적하고 넓어서 모임하기 좋아요!"
61,갈비 부드럽고 너무 맛있어요😍  자리도 쾌적하고 친절하게 좋습니다. 재방문 필수네요~^^
62,소중한 기념일에 정말 멋진 시간을 보냈습니다.갈비가 정말 부드럽고 맛있어요!
63,직원분들 친절하고 음식이  빠르게 준비되요.  갈비는 맛있는데  기름부분이 좀 많은것이 흠..전체적으로 만족합니다
64,"속상해서 글남깁니다.부모님 생신이셔서 시청인근 고기집찾다가 예약 했는데룸이 다 차서 창가쪽으로예약 해주신다길래 한시름 놓았는데1. 정중앙에 자리 잡아주시고는 창가쪽이라고 하셨어요.당황.2. 여직원분들 충분히 묶을수 있는 머리를  풀어헤치거나, 대충 헐렁 묶으시고 고기 구워주시는데 머리카락 떨어질것같고 조마조마했어요3. 음료 주문했는데 계속 갖다주시지않고 모든 직원들이 다른 테이블 셋팅만 준비하고 계셨어요. 이미 온 손님은 신경을 안쓰시는건지 이해가 안갔습니다.4. 판 바꾸시다가 숯을 바닥에 떨어트리셨고 당황하시면서 판도 떨어뜨리시고.고기 집게로 숯을 집으시고..그 광경보신 이후 부모님께선 고기에 손도 못대심.5. 테이블에 물도없고 김치전도 기본셋팅안돼있어서 달라고했더니 추가금붙는다고 잘못안내"
65,인테리어 가게 분위기도 고급스럽고 티오더 테블릿으러 주문할 수 있어서 좋은 것 같아요 밑반찬도 다양하고 맛있어요!
66,월가갈비 좋아요직원분들이 친절해요음식이 맛있습니다~~^^맛있게 잘먹었던 날입니다감사합니다~~^^
67,고기를 정말 잘구워주시고 정말 부드러워서 깜짝놀랐네요 앞으로 가족식사는 여기서 할 것 같아요
68,전에 지인이 사준 점심에 맛있어서 자녀둘을 데리고 파주에서 출발해서 방문하였어요.매장넓어서 좋았고요.직원들이 차분하고 친절해서 좋았어요.적접 커팅해주시니 편하고 맛있었습니다.2층은 대화하기가 참 좋은공간이었어요.  시그니처인 벽돌갈비는 기름이 너무많아서  느끼했어요.그  가격으로 벽돌갈비  먹기에는 그냥 그랬습니다. 차라리 꼼장어가 더 나을것 같아요.벽돌갈비는 좀 실망 스러웠습니다.그렇지만 양념소갈비는 정말 맛있었습니다. 야들야들 전혀 질기지않고 입안에서 녹아요.저는 생갈비 파 라서 양념 안먹는데  이곳은 양념이 맛있더라고요그리고 오미자하이볼. 예약상품 1개 맛보고 맛있어서  1개자비추가했어요.비싸지만 맛있었어요
69,음식도 맛있고 고기도 잘 구워주시고 서비스에도 만족한 식사였어요
70,최애 소고기집! 맛있게 먹고 갑니다 ㅎㅎ
71,동료들과 점심회식 왔다가 음식맛이며 고기질이며 서비스까지 이렇게 완벽할수가 없어요.점식특선 벽돌갈비 너무 맛있게 먹었습니다.오미자하이볼 완전강추요.기분쵝오♡♡
72,"남자친구가 예약하고 데려갔는데 반찬도 정갈하게 잘 나오고, 벽돌갈비도 넘 맛있었어요! 매장도 넓고, 2~3층까지 있다고 하는데 윗층은 대기가 있을 수도 있으니 미리 전화해보고 가세요."
73,고기가 정말 신선하고 맛있는 집이였습니다. 점심에 직장인 분들 식사하고도 딱인 곳이구요. 나중엔 가족 모임있으면 예약하고 재방문해보려합니다.
74,엄마 모시고 다녀왔어요  궁나들이갔다가 들렀는데 맛있어요 2층 창가 강추요. 볶음밥까지 다 맛나요 백김치도 예술이구요.
75,월가벽돌갈비 추천입니다 이 집만의 특별한 소스? 장이 있는데 그걸 얹어먹으니 입안에서 풍미가 확 도네요!! 직원분들도 매우 친절하세요^^
76,데스크에서부터 직원분이 활기찬 미소로 반겨주셔서 처음부터 기분이 좋아지고 벽돌갈비 컨셉도 신기한데 맛까지 있고 월가갈비만의 3종소스가 그 고기 맛을 한층 더 좋게 해주어서 더 맛있게 먹었습니다. 또 숙주볶음이 서비스로 나와 고기를 먹는 내내 질리지 않았습니다 또 매장도 넓어서 단체로 오는것도 강추!! 완전 제 인생 고깃집 한번쯤 가보시는거 적극 추천 드립니다!!
77,지인 추천으로 예약방문.  불고기정식과 육회비빔밥 먹음 딱히 기억될만한 맛은 아님.  단체 모임하기엔 괜찮을듯~개인적으로 또 바운하지는 않을꺼 같네요
78,"점심 돼 갈비 후기. 갈비랑 반찬 맛있지만 김치랑 비냉은 좀 많이 짠 편. 직원이 너무 부족한듯. 뭐 하나 요청해도 한참 걸려서 2번,3번 말해야 해결. 숯불이 금방 약해져서 2번이나 중간에 빼서 다시 달궈옴🤨 숯불 가져가서 10분동안 방치되고.. 점장님인지 사장님인지 사과도 하시고 서비스도 주셨기도 하고 '그래, 점심시간이니 이해하자' 했는데 불판갈아달라는 요청에 직원이 노려봄. 일행 모두 당황😑 반찬 갖다 달라해도 까먹고.. 한번에 서빙된게 없었던 1시간. 직장인 상대로 영업하시려면 서비스  개선이 반드시 필요할거 같습니다 :( "
79,"잘먹고 환갑행사 잘 치렀습니다. 재방문이었습니다.첫방문 때 서비스도 서비스지만,갈비 3+1행사에 주차지원에 리뷰 작성 하이볼까지 얻어가는 것이 많아서 만족감이 컸던 것 같습니다.어제 아버지 환갑기념으로 식사를 했는데, 이는 한달 전에 예약해둔 것입니다.어제 방문 전 네이버 통해 확인하니 예약하고 방문까지 그 한달사이에 3+1행사가 돼지갈비(예약자만 가능한 듯)로만 축소돼 보였습니다. 그런데 당일식사에서는 현장 혼선인지 누구는 3+1행사가 5시까지만 된다고 했다가 누구는 3+1행사가 더는 없다고 하고.. 결과적으로 벽돌갈비에 돼지갈비에 모두 이벤트없이 식사했고 주차비는 지원받았지만, 지금 리뷰를 남기는 플레이스에는 또 돼지갈비는 주말 예약자는 3+1이 된다고 써있으니 찜찜한 맘을 지우기 어렵네요.."
80,고기가 맛있어요! 비빔냉면 강추
81,시청역 소갈비 맛집🌟 매장도 청결하고 직원분들도 친절하셔서 꼭 추천합니다! 
82,"일단 고기가 너무 맛있고 부드러움. 전체적으로 고급스럽고 반찬도 정갈합니다. 직원분들도 너무 친절하시고 고기도 맛있게 잘 구워주셔서 근사한 저녁 보내고 갑니다. 가격대비 고기 질이 너무 좋아서 시청 근처에서 식사, 회식하실 때 강추합니다^^"
83,강남에서 이거먹으로 가끔와요 강남에 괜히 비싸게 고기먹지말고 여기서 드세요  주말엔 한가한편이라 조용한 식사 가능합니다  물론 맛도 있고 기본반찬 훌륭이요
84,갈비가 엄청 맛있어요!!고기도 구워줘서 편하게 먹을 수 있고반찬도 많아서 너무 좋습니다ㅎㅎ
85,너무 맛있어요직원분들이 고기를 잘 구워주셔서 편하게 먹었습니다!홍벽갈비가 제일 맛있어요!!
86,부모남과 왔는데.고기. 너무맛있다고 좋아하세요작접구워주셔서. 편안하게 식사했습니다반찬들도. 너무. 맛있고 깔끔합니다강추해요
87,고기가 너무 부드럽고 맛있어요!고기도 너무 잘 구워주시고 너무너무너무 친절하십니다!
88,고기 질이 정말 좋고 맛나게 잘 구워 주세요. 늦은 시간에 갔는데도 친절히 서비스해 주셔서 좋았습니다. 또 방문할꺼 같습니다.
89,"고풍스러운 인테리어에 한번,정갈한 상차림에 두번,,제주 흑돼지 스페샬 풍미에 세번,,,벽돌갈비의 솜사탕같은 부드러운 식감에,,,,소중한 사람과 정성스러운 한끼가 생각날 때면앞으로 월가갈비 서울시청본점 문 두드릴게요❤"
90,직원분들도 친절하시고 3층에서 먹었는데 뷰가 좋네요 
91,너무 맛있고 서비스도 친절해요!😍
92,"고기도 너무 신선하고 맛있었어요👍생일이라 맛난거 먹으러 나온건데 너무 행복하고 만족스럽게 먹고갑니다😍 반찬도 정갈하고 맛있고, 고기랑 합도 잘 어우러져서 너무 만족스러운 저녁이였어요!!👏👏부족한 반찬 더 요청드려도 직원분들 귀찮은 내색없이 너무 친절하셔서 극I인 저한테 너무 감사했던 식당이였습니다!😆다음에 서울 올 일이있다면 꼭 다시한번 오고싶은 곳이에요완전 만족👍👍👍👍👍"
93,지인분들과 방문했는데 고기도 잘 구워주시고 맛있어서 만족하고 갑니다.
94,생갈비가 먹고 싶어 왔는데 매장이 깔끔하고 구워주셔서 편히 잘 먹고 왔어요ㅎㅎ 서비스가 좋습니다 갈비짱짱
